EmployeeID,EmployeeName,Age,Gender,Department,JobRole,EducationField,Education,MonthlyIncome,HourlyRate,DailyRate,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,TotalWorkingYears,NumCompaniesWorked,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,PerformanceRating,RelationshipSatisfaction,BusinessTravel,MaritalStatus,DistanceFromHome,OverTime,PercentSalaryHike,TrainingTimesLastYear,StockOptionLevel,JobInvolvement,Attrition,JoiningDate,Attrition_Flag,Age_Group,Income_Band,Tenure_Group,Avg_Satisfaction,High_Risk,Joining_Year,Joining_Month
EMP5849,James Jones,39.0,fEmale,it,Laboratory Technician,Technical Degree,3,15705.0,58,717,22.0,10,4,8.0,1,1.0,2,2.0,3.0,1,Travel_Frequently,Divorced,25,No,16,1,0,4,Yes,2010-10-01,1.0,36-45,Very High,15+ yrs,1.6666666666666667,0,2010,10
EMP6499,Nancy Davis,22.0,MALE,R&D,Operations Lead,Human Resources,2,19011.0,59,1136,4.0,3,5,8.0,6,2.0,3,1.0,3.0,4,Travel_Rarely,Single,12,Yes,19,6,1,4,No,2016-12-01,0.0,18-25,Very High,4–7 yrs,2.0,0,2016,12
EMP1459,Michael Garcia,35.0,Male,IT,Financial Analyst,Other,3,10871.0,72,622,19.0,15,9,39.0,8,3.0,1,3.0,3.0,4,Travel_Frequently,Divorced,26,0,15,1,1,4,No,2015-04-04,0.0,26-35,Very High,15+ yrs,2.3333333333333335,0,2015,4
EMP1445,Christopher Williams,55.0,Male,Finance,HR Representative,Technical Degree,1,19865.0,94,752,4.0,0,1,26.0,8,3.0,3,3.0,4.0,2,Non-Travel,Divorced,9,No,21,4,0,4,No,2017-06-26,0.0,46-60,Very High,4–7 yrs,3.0,0,2017,6
EMP6147,Sarah Thomas,59.0,Female,sales dept,Sales Executive,Human Resources,1,10099.0,70,1323,23.0,9,4,20.0,8,2.0,3,1.0,3.0,1,Travel_Rarely,Married,6,0,25,0,3,2,No,2013-05-04,0.0,46-60,Very High,15+ yrs,2.0,0,2013,5
EMP8836,Anthony Garcia,56.0,FEMALE,Sales,Software Engineer,Marketing,5,6034.0,44,1197,24.0,18,5,27.0,9,4.0,4,2.0,3.0,3,Travel_Rarely,Married,21,Yes ,15,2,3,1,No,2022-11-28,0.0,46-60,High,15+ yrs,3.3333333333333335,0,2022,11
EMP5768,Anthony Jackson,42.0,Female,Marketing,Operations Lead,Other,4,13552.0,44,281,16.0,4,1,3.0,4,3.0,2,4.0,3.0,4,Travel_Frequently,Married,9,Yes,25,2,3,3,Yes,2012-06-15,1.0,36-45,Very High,15+ yrs,3.0,0,2012,6
EMP7020,Richard Davis,29.0,Male,Research & Development,Financial Analyst,Human Resources,5,6683.0,82,317,24.0,11,16,13.0,6,2.0,4,3.0,3.0,1,Travel_Frequently,Married,16,Y,18,3,2,3,No,2013-08-14,0.0,26-35,High,15+ yrs,3.0,0,2013,8
EMP4739,William Young,58.0,Male,sales dept,Financial Analyst,Medical,5,7265.0,92,1362,28.0,15,17,1.0,7,2.0,1,2.0,4.0,2,Non-Travel,Divorced,10,No,19,6,0,4,No,2021-05-11,0.0,46-60,High,15+ yrs,1.6666666666666667,0,2021,5
EMP7136,Michael Johnson,54.0,Female,human resources,Sales Executive,Other,2,19172.0,36,916,24.0,8,15,31.0,0,4.0,1,2.0,3.0,1,Non-Travel,Divorced,27,Yes,22,0,0,2,No,2015-12-20,0.0,46-60,Very High,15+ yrs,2.3333333333333335,0,2015,12
