EmployeeID,EmployeeName,Age,Gender,Department,JobRole,EducationField,Education,MonthlyIncome,HourlyRate,DailyRate,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,TotalWorkingYears,NumCompaniesWorked,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,PerformanceRating,RelationshipSatisfaction,BusinessTravel,MaritalStatus,DistanceFromHome,OverTime,PercentSalaryHike,TrainingTimesLastYear,StockOptionLevel,JobInvolvement,Attrition,JoiningDate
EMP7367,Daniel Garcia,,Female,IT,,Technical Degree,5,18140.0,90,1112,,16,10,10.0,6,3.0,3,,,1,Non-Travel,Married,11,,23,2,3,1,No,19 Nov 2010
EMP6604,Daniel Moore,19.0,Male,R & D,Operations Lead,Other,2,3643.0,30,355,15.0,14,4,34.0,2,2.0,3,1.0,3.0,3,Non-Travel,divorced,30,,18,4,0,3,no ,13-7-2019
EMP4384,Sandra Smith,43.0,Male,Research & Development ,Operations Lead,Life Sciences,2,2507.0,58,484,30.0,14,12,9.0,2,1.0,2,,3.0,2,Travel_Rarely,Married,10,YES,15,6,0,4,Yes,N/A
EMP5511,Michael Harris,27.0,Male,R & D,Marketing Specialist,Marketing,4,4526.0,91,176,28.0,17,11,20.0,6,4.0,2,1.0,,2,Non-Travel,Married,17,No,16,1,2,1,No,11/24/2018
EMP5299,Mark Davis,22.0,Male,Sales,Laboratory Technician,Medical,5,1637.0,99,1128,,2,10,20.0,9,2.0,3,4.0,4.0,1,Travel_Frequently,Divorced,26,No,23,1,3,3,No,
EMP5670,Barbara Williams,28.0,Male,R & D,Laboratory Technician,Other,4,17889.0,100,552,21.0,11,14,17.0,5,,1,2.0,3.0,4,Travel_Frequently,Divorced,16,0,25,6,3,1,No,11 Sep 2013
EMP5849,James Jones,39.0,fEmale,it,Laboratory Technician,Technical Degree,3,15705.0,58,717,22.0,10,4,8.0,1,1.0,2,2.0,3.0,1,Travel_Frequently,Divorced,25,No,16,1,0,4,Yes,1-10-2010
EMP8918,Ashley Harris,57.0,Female,Research & Development ,Sales Executive,Other,3,10739.0,79,169,6.0,1,3,36.0,2,,1,1.0,3.0,1,Non-Travel,Married,15,Yes,21,1,1,1,No,2010-03-05
EMP4666,Karen Taylor,58.0,Male,,Marketing Specialist,Human Resources,2,7122.0,38,149,1.0,1,1,34.0,9,4.0,2,2.0,,3,Travel_Frequently,Single,22,Yes,15,6,1,2,Y,12/17/2018
EMP6499,Nancy Davis,22.0,MALE,R&D,Operations Lead,Human Resources,2,19011.0,59,1136,4.0,3,5,8.0,6,2.0,3,1.0,3.0,4,Travel_Rarely,Single,12,Yes,19,6,1,4,No,2016-01-12
